track,artist,release,streams
MILLION DOLLAR BABY,Tommy Richman,2024,390470936
Not Like Us,Kendrick Lamar,2024,323703884
i like the way you kiss me,Artemas,2024,601309283
Flowers,Miley Cyrus,2023,2031280633
Houdini,Eminem,2024,107034922
Lovin On Me,Jack Harlow,2023,670665438
Beautiful Things,Benson Boone,2024,900158751
Gata Only,FloyyMenor,2024,675079153
BAND4BAND (feat. Lil Baby),Central Cee,2024,90676573
I Had Some Help (feat. Morgan Wallen),Post Malone,2024,250080413
The Door,Teddy Swims,2024,111155129
LUNCH,Billie Eilish,2024,221636195
Like That,Future,2024,355186436
bathroom floor,Kids With Buns,2022,297185
LALA,Myke Towers,2023,925655569
Fortnight (feat. Post Malone),Taylor Swift,2024,395433400
greedy,Tate McRae,2023,1258569694
BLUE,Billie Eilish,2024,91272461
As It Was,Harry Styles,2022,3301814535
Paint The Town Red,Doja Cat,2023,1065399331
Espresso,Sabrina Carpenter,2024,547882871
Danza Kuduro - Cover,MUSIC LAB JPN,2024,1655575417
TEXAS HOLD 'EM,Beyonc?,2024,426700979
Beat Automotivo Tan Tan Tan Viral,WZ Beat,2022,7382759
STAY (with Justin Bieber),The Kid LAROI,2021,3107100349
we can't be friends (wait for your love),Ariana Grande,2024,591068364
Numb / Encore,JAY-Z,2024,1003215671
SHEESH,BABYMONSTER,2024,124893397
Water,Tyla,2023,670376179
Strangers,Kenya Grace,2023,750154960
Too Sweet,Hozier,2024,532012790
What's Love Got to Do with It - 2023 Remaster,Tina Turner,2024,479417905
A Bar Song (Tipsy),Shaboozey,2024,311928522
Lose Control,Teddy Swims,2023,775135157
fukumean,Gunna,2023,759998727
Dance Monkey,Tones And I,2019,3071214106
BIRDS OF A FEATHER,Billie Eilish,2024,214237645
I'm Good (Blue),David Guetta,2022,1658229422
Daylight,David Kushner,2023,1126820069
My Love Mine All Mine,Mitski,2023,997702304
Please Please Please,Sabrina Carpenter,2024,59314441
Houdini,Dua Lipa,2023,493627071
Danza Kuduro - Cover,MUSIC LAB JPN,2024,1655575417
If We Ever Broke Up,Mae Stephens,2023,304929492
Despacito,Luis Fonsi,2017,1747093405
euphoria,Kendrick Lamar,2024,168434320
Panda Basi,Mvua,2023,104271
Calm Down (with Selena Gomez),Rema,2022,1391688322
Shape of You,Ed Sheeran,2017,3909458734
Mitu,Maian,2023,55346
Blinding Lights,The Weeknd,2019,4281468720
Creepin' (with The Weeknd & 21 Savage),Metro Boomin,2022,1337619917
Danza Kuduro - Cover,MUSIC LAB JPN,2024,1655575417
Unholy (feat. Kim Petras),Sam Smith,2022,1556275789
Very Cute Melody by Marimba Tone (39813),mitsu sound,2023,1384
Supernova,aespa,2024,69729033
Me Porto Bonito,Bad Bunny,2022,1811990630
Back That Azz Up (feat. Lil Wayne & Mannie Fresh),JUVENILE,2024,199929812
Calm Down,Rema,2022,584427088
CARNIVAL,?$,2024,466887055
Kill Bill,SZA,2022,1873746537
"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,2023,891720245
Babba,Guy Mac,2023,46567
Heat Waves,Glass Animals,2020,2996181078
In the End,Linkin Park,2024,2045512421
"Shakira: Bzrp Music Sessions, Vol. 53",Bizarrap,2023,946941510
The Way We Move - Extended Mix,PowerDress,2023,7909
Old Town Road,Lil Nas X,2019,1010494713
un x100to,Grupo Frontera,2023,1008495696
Sprinter,Dave,2023,692512930
CHIHIRO,Billie Eilish,2024,169410711
TQG,KAROL G,2023,1024381758
Perfect,Ed Sheeran,2017,2969999682
Pepas,Farruko,2021,1500499584
Peekaboo,Dave Angel,2023,8082
Ella Baila Sola,Eslabon Armado,2023,1215336974
Dance The Night - From Barbie The Album,Dua Lipa,2023,860026452
La Bebe - Remix,Yng Lvcas,2023,1032225805
redrum,21 Savage,2024,428233003
Easy On Me,Adele,2021,1720918065
All My Life (feat. J. Cole),Lil Durk,2023,333202114
Anti-Hero,Taylor Swift,2022,1563224246
"Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap,2022,1692951462
Magnetic,ILLIT,2024,255076355
Lollipop,Darell,2023,275349653
La Diabla,Xavi,2023,649404552
Boy's a Liar Pt. 2,PinkPantheress,2023,851085705
Snooze,SZA,2022,1013350808
BELLAKEO,Peso Pluma,2023,359803580
Agora Hills,Doja Cat,2023,509653100
Prada,cass?,2023,609699748
Montagem Rave Eterno,Dj Samir,2024,5157486
Lil Boo Thang,Paul Russell,2023,242070373
Laxed (Siren Beat),Jawsh 685,2020,61382407
(It Goes Like) Nanana - Edit,Peggy Gou,2023,460156070
Training Season,Dua Lipa,2024,251153869
Type Shit,Future,2024,205206688
Armageddon,aespa,2024,32942304
The Box,Roddy Ricch,2019,1911559785
INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,2021,2014959725
Pedro,Jaxomy,2024,168145583
Fast Car,Luke Combs,2023,518988585
Bling-Bang-Bang-Born,Creepy Nuts,2024,247399972
Aesthetic,Tollan Kim,2022,5712985
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,2018,3358704125
Saturn,SZA,2024,343090427
Believer,Imagine Dragons,2017,3006226762
WAIT FOR U (feat. Drake & Tems),Future,2022,787155930
I KNOW ?,Travis Scott,2023,532605345
ANDO,Jere Klein,2023,292789738
First Class,Jack Harlow,2022,818858244
FE!N,Travis Scott,2023,659010786
Save Your Tears - Live,The Weeknd,2023,3913988
Losing Interest - Original Mix,Goovex,2024,126247886
Drained of Color,Exhumed,2022,158627
Mood (feat. iann dior),24kGoldn,2020,1867736006
Dynamite,BTS,2020,1872577908
Looking Like a Wow End of Year 2023,WasteLand,2023,8327
Someone You Loved,Lewis Capaldi,2018,3427498835
Made You Look,Meghan Trainor,2022,720720922
PHONK BRASILEIRO FRESCO (Slowed + Reverb),DJ MOIGUS,2023,1378494
"Sooseki (From ""Pushpa 2 The Rule"") [TELUGU]",Shreya Ghoshal,2024,2827545
vampire,Olivia Rodrigo,2023,998964097
Back,LOLA,2022,48428
People,Libianca,2022,631955547
Lady Killers II (Christoph Andersson Remix),G-Eazy,2024,94635338
I Don't Wanna Wait,David Guetta,2024,114574238
Abc,J Ross,2023,31867
La Bachata,Manuel Turizo,2022,1721045197
Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,2021,1612286123
Don't Start Now,Dua Lipa,2019,2607121959
Lucid Dreams,Juice WRLD,2018,2548389305
PROVENZA,KAROL G,2022,1185929926
WAP (feat. Megan Thee Stallion),Cardi B,2020,1325725696
SPOT!,ZICO,2024,77757035
Family Matters,Drake,2024,72335127
Again,Kurochuu,2024,136237285
Seven (feat. Latto) (Explicit Ver.),Jung Kook,2023,1673557134
Last Night,Morgan Wallen,2023,922010059
Too Sweet,Hozier,2024,532012790
Bad Habits,Ed Sheeran,2020,1754311538
Leave The Door Open,Bruno Mars,2021,1312168384
good 4 u,Olivia Rodrigo,2021,2167768056
bad guy,Billie Eilish,2019,2516804300
ROCKSTAR (feat. Roddy Ricch),DaBaby,2020,1638836101
Eyes Closed,Ed Sheeran,2023,372423476
I Remember Everything (feat. Kacey Musgraves),Zach Bryan,2023,630373315
Circles,Post Malone,2019,2481391466
EL AMOR DE SU VIDA,Grupo Frontera,2023,474590289
About Damn Time,Lizzo,2022,847025688
Closer,The Chainsmokers,2016,2880536961
FLOWER,JISOO,2023,440364356
Rich Baby Daddy (feat. Sexyy Red & SZA),Drake,2023,372248119
Havana (feat. Young Thug),Camila Cabello,2017,2072182782
LUNA,Feid,2023,606124553
I Like You (A Happier Song) (with Doja Cat),Post Malone,2022,827950825
Bones,Imagine Dragons,2022,1227475431
Selfish,Justin Timberlake,2024,92932220
golden hour,JVKE,2022,1126986320
Levitating (feat. DaBaby),Dua Lipa,2020,2074721986
Get It Sexyy,Sexyy Red,2024,89362910
"This Wish - From ""Wish""",Ariana DeBose,2023,26674909
IDGAF (feat. Yeat),Drake,2023,406875019
Ojitos Lindos,Bad Bunny,2022,1421763497
Life Is Good (feat. Drake),Future,2020,1237874594
Escapism.,RAYE,2022,804925777
Stargazing,Myles Smith,2024,106599323
Jimmy Cooks (feat. 21 Savage),Drake,2022,971473231
What You Know Bout Love,Pop Smoke,2020,1125681368
Memories,Maroon 5,2019,2011072164
Classy 101,Feid,2023,872148396
Whatever,Kygo,2024,222354971
Whatever She Wants,Bryson Tiller,2024,207093873
Vois sur ton chemin - Techno Mix,BENNETT,2023,361517395
"yes, and?",Ariana Grande,2024,416813996
Without Me,Halsey,2018,2042792456
meet the grahams,Kendrick Lamar,2024,65520394
First Person Shooter (feat. J. Cole),Drake,2023,328526298
Shallow,Lady Gaga,2018,2447973078
Thunder,Imagine Dragons,2017,2384768901
Rush,Ayra Starr,2022,371886608
abcdefu,GAYLE,2021,1128273165
Buga,Kizz Daniel,2022,86516910
Bad Habit,Steve Lacy,2022,1087938471
MONEY,LISA,2021,1189335848
Columbia,Quevedo,2023,721002940
LADY GAGA,Peso Pluma,2023,684204777
Woman,Doja Cat,2021,1606950381
CUFF IT,Beyonc?,2022,795960535
KING KONG,TREASURE,2024,8078265
How You Like That,BLACKPINK,2020,1033109188
Milf Song,The Puddleducks,2022,1165982
Nasty,Tinashe,2024,31612906
Superhero (Heroes & Villains),Metro Boomin,2022,706356280
Panda,Desiigner,2016,1181348550
Push Ups,Drake,2024,107762230
Tattoo,Loreen,2023,518846340
Kiss Me More (feat. SZA),Doja Cat,2021,1823871908
What It Is (Block Boy) (with Kodak Black),Doechii,2023,102772879
Gata Only,FloyyMenor,2023,4674619
Illusion,Dua Lipa,2024,108501771
drivers license,Olivia Rodrigo,2021,2184754018
Used To Be Young,Miley Cyrus,2023,205468104
Cupid - Twin Ver.,FIFTY FIFTY,2023,861388470
How Sweet,NewJeans,2024,33595707
Players,Coi Leray,2022,465588517
rockstar (feat. 21 Savage),Post Malone,2017,2960046642
Lil Somethin Somethin,Vayah,2023,11648
Con Calma,Daddy Yankee,2019,1353028938
Here With Me,d4vd,2022,1042311849
Favorite Song,Toosii,2023,186579651
Si No Quieres No,Luis R Conriquez,2024,158131138
Mele Kalikimaka,Bing Crosby,2024,186123398
MONTERO (Call Me By Your Name),Lil Nas X,2021,1902241314
Voz Emplumada del Monte,Biomigrant,2023,42761
Is It Over Now? (Taylor's Version) (From The Vault),Taylor Swift,2023,406821432
